>850hPa	850-500hPa	500-300hPa	300-100hPa	<100hPa
54401 40.77 114.92 2	54401 40.77 114.92 4	54401 40.77 114.92 4	54401 40.77 114.92 9	54401 40.77 114.92 2
54511 39.80 116.47 1	54511 39.80 116.47 2	54511 39.80 116.47 2	54511 39.80 116.47 4	54511 39.80 116.47 0
54539 39.43 118.88 3	54539 39.43 118.88 7	54539 39.43 118.88 4	54539 39.43 118.88 11	54539 39.43 118.88 2
54662 38.90 121.63 2	54662 38.90 121.63 13	54662 38.90 121.63 9	54662 38.90 121.63 11	54662 38.90 121.63 1
54727 36.68 117.55 4	54727 36.68 117.55 10	54727 36.68 117.55 13	54727 36.68 117.55 10	54727 36.68 117.55 1
54778 37.17 122.48 5	54778 37.17 122.48 10	54778 37.17 122.48 5	54778 37.17 122.48 8	54778 37.17 122.48 2
54857 36.07 120.33 4	54857 36.07 120.33 7	54857 36.07 120.33 7	54857 36.07 120.33 10	54857 36.07 120.33 2
55299 31.48 92.07 0	55299 31.48 92.07 0	55299 31.48 92.07 3	55299 31.48 92.07 9	55299 31.48 92.07 2
55591 29.67 91.13 0	55591 29.67 91.13 2	55591 29.67 91.13 7	55591 29.67 91.13 7	55591 29.67 91.13 2
55664 28.63 87.08 0	55664 28.63 87.08 1	55664 28.63 87.08 6	55664 28.63 87.08 6	55664 28.63 87.08 2
56004 34.22 92.43 0	56004 34.22 92.43 0	56004 34.22 92.43 9	56004 34.22 92.43 7	56004 34.22 92.43 2
56029 33.00 96.97 0	56029 33.00 96.97 0	56029 33.00 96.97 5	56029 33.00 96.97 7	56029 33.00 96.97 2
56046 33.75 99.65 0	56046 33.75 99.65 1	56046 33.75 99.65 5	56046 33.75 99.65 9	56046 33.75 99.65 2
56080 35.00 102.90 0	56080 35.00 102.90 2	56080 35.00 102.90 3	56080 35.00 102.90 9	56080 35.00 102.90 2
56096 33.40 104.92 0	56096 33.40 104.92 2	56096 33.40 104.92 5	56096 33.40 104.92 7	56096 33.40 104.92 3
56137 31.15 97.17 0	56137 31.15 97.17 1	56137 31.15 97.17 4	56137 31.15 97.17 7	56137 31.15 97.17 4
56146 31.62 100.00 0	56146 31.62 100.00 0	56146 31.62 100.00 8	56146 31.62 100.00 9	56146 31.62 100.00 4
56173 32.80 102.55 0	56173 32.80 102.55 1	56173 32.80 102.55 5	56173 32.80 102.55 7	56173 32.80 102.55 1
56187 30.75 103.87 1	56187 30.75 103.87 4	56187 30.75 103.87 9	56187 30.75 103.87 7	56187 30.75 103.87 3
56247 30.00 99.10 0	56247 30.00 99.10 1	56247 30.00 99.10 5	56247 30.00 99.10 8	56247 30.00 99.10 2
56312 29.67 94.33 0	56312 29.67 94.33 0	56312 29.67 94.33 5	56312 29.67 94.33 6	56312 29.67 94.33 2
56492 28.80 104.60 1	56492 28.80 104.60 5	56492 28.80 104.60 4	56492 28.80 104.60 7	56492 28.80 104.60 2
56571 27.90 102.27 0	56571 27.90 102.27 2	56571 27.90 102.27 5	56571 27.90 102.27 7	56571 27.90 102.27 1
56651 26.85 100.22 0	56651 26.85 100.22 2	56651 26.85 100.22 3	56651 26.85 100.22 7	56651 26.85 100.22 2
56691 26.87 104.28 0	56691 26.87 104.28 2	56691 26.87 104.28 6	56691 26.87 104.28 11	56691 26.87 104.28 3
56739 25.02 98.50 0	56739 25.02 98.50 2	56739 25.02 98.50 3	56739 25.02 98.50 8	56739 25.02 98.50 2
56778 25.00 102.65 0	56778 25.00 102.65 2	56778 25.00 102.65 8	56778 25.00 102.65 9	56778 25.00 102.65 2
57083 34.72 113.65 3	57083 34.72 113.65 5	57083 34.72 113.65 6	57083 34.72 113.65 6	57083 34.72 113.65 1
57127 33.07 107.03 3	57127 33.07 107.03 3	57127 33.07 107.03 6	57127 33.07 107.03 8	57127 33.07 107.03 2
57131 34.43 108.97 1	57131 34.43 108.97 4	57131 34.43 108.97 6	57131 34.43 108.97 8	57131 34.43 108.97 2
57178 33.03 112.58 1	57178 33.03 112.58 6	57178 33.03 112.58 8	57178 33.03 112.58 7	57178 33.03 112.58 2
57245 32.72 109.03 1	57245 32.72 109.03 6	57245 32.72 109.03 5	57245 32.72 109.03 6	57245 32.72 109.03 2
57328 31.20 107.50 2	57328 31.20 107.50 4	57328 31.20 107.50 9	57328 31.20 107.50 8	57328 31.20 107.50 1
57447 30.28 109.47 1	57447 30.28 109.47 5	57447 30.28 109.47 10	57447 30.28 109.47 8	57447 30.28 109.47 1
57461 30.70 111.30 2	57461 30.70 111.30 2	57461 30.70 111.30 2	57461 30.70 111.30 3	57461 30.70 111.30 0
57494 30.60 114.05 1	57494 30.60 114.05 11	57494 30.60 114.05 5	57494 30.60 114.05 8	57494 30.60 114.05 1
57516 29.58 106.47 2	57516 29.58 106.47 3	57516 29.58 106.47 4	57516 29.58 106.47 7	57516 29.58 106.47 2
57679 28.20 113.08 1	57679 28.20 113.08 8	57679 28.20 113.08 11	57679 28.20 113.08 10	57679 28.20 113.08 1
57816 26.58 106.73 1	57816 26.58 106.73 5	57816 26.58 106.73 11	57816 26.58 106.73 10	57816 26.58 106.73 2
57957 25.32 110.30 1	57957 25.32 110.30 14	57957 25.32 110.30 7	57957 25.32 110.30 7	57957 25.32 110.30 1
57972 25.80 113.03 2	57972 25.80 113.03 9	57972 25.80 113.03 8	57972 25.80 113.03 6	57972 25.80 113.03 2
57993 25.87 115.00 2	57993 25.87 115.00 7	57993 25.87 115.00 7	57993 25.87 115.00 6	57993 25.87 115.00 1
58027 34.28 117.15 3	58027 34.28 117.15 4	58027 34.28 117.15 6	58027 34.28 117.15 8	58027 34.28 117.15 2
58150 33.77 120.25 5	58150 33.77 120.25 6	58150 33.77 120.25 5	58150 33.77 120.25 7	58150 33.77 120.25 0
58203 32.90 115.83 3	58203 32.90 115.83 4	58203 32.90 115.83 3	58203 32.90 115.83 7	58203 32.90 115.83 2
58238 31.93 118.90 4	58238 31.93 118.90 6	58238 31.93 118.90 7	58238 31.93 118.90 9	58238 31.93 118.90 1
58362 31.40 121.45 4	58362 31.40 121.45 12	58362 31.40 121.45 7	58362 31.40 121.45 10	58362 31.40 121.45 1
58424 30.53 117.05 3	58424 30.53 117.05 7	58424 30.53 117.05 10	58424 30.53 117.05 9	58424 30.53 117.05 2
58457 30.23 120.17 5	58457 30.23 120.17 9	58457 30.23 120.17 7	58457 30.23 120.17 8	58457 30.23 120.17 1
58606 28.60 115.92 5	58606 28.60 115.92 8	58606 28.60 115.92 10	58606 28.60 115.92 8	58606 28.60 115.92 1
58633 29.00 118.90 5	58633 29.00 118.90 7	58633 29.00 118.90 9	58633 29.00 118.90 8	58633 29.00 118.90 1
58665 28.62 121.42 6	58665 28.62 121.42 7	58665 28.62 121.42 10	58665 28.62 121.42 8	58665 28.62 121.42 2
58725 27.33 117.47 3	58725 27.33 117.47 6	58725 27.33 117.47 10	58725 27.33 117.47 8	58725 27.33 117.47 2
58847 26.08 119.28 2	58847 26.08 119.28 2	58847 26.08 119.28 2	58847 26.08 119.28 4	58847 26.08 119.28 0
59023 24.70 108.03 1	59023 24.70 108.03 9	59023 24.70 108.03 6	59023 24.70 108.03 8	59023 24.70 108.03 2
59134 24.48 118.07 2	59134 24.48 118.07 9	59134 24.48 118.07 8	59134 24.48 118.07 11	59134 24.48 118.07 0
59211 23.90 106.60 1	59211 23.90 106.60 8	59211 23.90 106.60 10	59211 23.90 106.60 7	59211 23.90 106.60 2
59280 23.70 113.08 2	59280 23.70 113.08 4	59280 23.70 113.08 6	59280 23.70 113.08 9	59280 23.70 113.08 1
59293 23.78 114.73 1	59293 23.78 114.73 7	59293 23.78 114.73 7	59293 23.78 114.73 5	59293 23.78 114.73 1
59316 23.40 116.68 2	59316 23.40 116.68 8	59316 23.40 116.68 8	59316 23.40 116.68 7	59316 23.40 116.68 2
