>850hPa	850-500hPa	500-300hPa	300-100hPa	<100hPa
54778 37.17 122.48 2	54778 37.17 122.48 6	54778 37.17 122.48 5	54778 37.17 122.48 8	54778 37.17 122.48 4
54857 36.07 120.33 3	54857 36.07 120.33 6	54857 36.07 120.33 7	54857 36.07 120.33 11	54857 36.07 120.33 4
55299 31.48 92.07 0	55299 31.48 92.07 4	55299 31.48 92.07 5	55299 31.48 92.07 14	55299 31.48 92.07 6
55591 29.67 91.13 0	55591 29.67 91.13 4	55591 29.67 91.13 8	55591 29.67 91.13 14	55591 29.67 91.13 5
55664 28.63 87.08 0	55664 28.63 87.08 3	55664 28.63 87.08 10	55664 28.63 87.08 13	55664 28.63 87.08 5
56004 34.22 92.43 0	56004 34.22 92.43 3	56004 34.22 92.43 11	56004 34.22 92.43 11	56004 34.22 92.43 7
56029 33.00 96.97 0	56029 33.00 96.97 4	56029 33.00 96.97 8	56029 33.00 96.97 12	56029 33.00 96.97 7
56046 33.75 99.65 0	56046 33.75 99.65 4	56046 33.75 99.65 11	56046 33.75 99.65 10	56046 33.75 99.65 7
56080 35.00 102.90 0	56080 35.00 102.90 7	56080 35.00 102.90 9	56080 35.00 102.90 10	56080 35.00 102.90 6
56096 33.40 104.92 0	56096 33.40 104.92 9	56096 33.40 104.92 11	56096 33.40 104.92 9	56096 33.40 104.92 4
56137 31.15 97.17 0	56137 31.15 97.17 5	56137 31.15 97.17 8	56137 31.15 97.17 13	56137 31.15 97.17 5
56146 31.62 100.00 0	56146 31.62 100.00 4	56146 31.62 100.00 7	56146 31.62 100.00 11	56146 31.62 100.00 6
56173 32.80 102.55 0	56173 32.80 102.55 4	56173 32.80 102.55 9	56173 32.80 102.55 9	56173 32.80 102.55 7
56187 30.75 103.87 2	56187 30.75 103.87 5	56187 30.75 103.87 7	56187 30.75 103.87 8	56187 30.75 103.87 4
56247 30.00 99.10 0	56247 30.00 99.10 6	56247 30.00 99.10 8	56247 30.00 99.10 11	56247 30.00 99.10 5
56312 29.67 94.33 0	56312 29.67 94.33 2	56312 29.67 94.33 9	56312 29.67 94.33 11	56312 29.67 94.33 5
56492 28.80 104.60 3	56492 28.80 104.60 9	56492 28.80 104.60 7	56492 28.80 104.60 8	56492 28.80 104.60 5
56571 27.90 102.27 0	56571 27.90 102.27 8	56571 27.90 102.27 10	56571 27.90 102.27 10	56571 27.90 102.27 4
56651 26.85 100.22 0	56651 26.85 100.22 4	56651 26.85 100.22 7	56651 26.85 100.22 11	56651 26.85 100.22 5
56691 26.87 104.28 0	56691 26.87 104.28 4	56691 26.87 104.28 9	56691 26.87 104.28 11	56691 26.87 104.28 5
56739 25.02 98.50 0	56739 25.02 98.50 6	56739 25.02 98.50 7	56739 25.02 98.50 9	56739 25.02 98.50 5
56778 25.00 102.65 0	56778 25.00 102.65 7	56778 25.00 102.65 10	56778 25.00 102.65 6	56778 25.00 102.65 5
57083 34.72 113.65 4	57083 34.72 113.65 6	57083 34.72 113.65 7	57083 34.72 113.65 9	57083 34.72 113.65 5
57127 33.07 107.03 1	57127 33.07 107.03 7	57127 33.07 107.03 8	57127 33.07 107.03 11	57127 33.07 107.03 5
57131 34.43 108.97 2	57131 34.43 108.97 8	57131 34.43 108.97 12	57131 34.43 108.97 9	57131 34.43 108.97 6
57178 33.03 112.58 5	57178 33.03 112.58 7	57178 33.03 112.58 10	57178 33.03 112.58 9	57178 33.03 112.58 3
57245 32.72 109.03 3	57245 32.72 109.03 10	57245 32.72 109.03 9	57245 32.72 109.03 9	57245 32.72 109.03 5
57328 31.20 107.50 3	57328 31.20 107.50 7	57328 31.20 107.50 8	57328 31.20 107.50 11	57328 31.20 107.50 4
57447 30.28 109.47 2	57447 30.28 109.47 10	57447 30.28 109.47 8	57447 30.28 109.47 9	57447 30.28 109.47 4
57461 30.70 111.30 2	57461 30.70 111.30 2	57461 30.70 111.30 2	57461 30.70 111.30 4	57461 30.70 111.30 1
57494 30.60 114.05 3	57494 30.60 114.05 5	57494 30.60 114.05 7	57494 30.60 114.05 9	57494 30.60 114.05 4
57516 29.58 106.47 4	57516 29.58 106.47 9	57516 29.58 106.47 4	57516 29.58 106.47 12	57516 29.58 106.47 4
57679 28.20 113.08 3	57679 28.20 113.08 7	57679 28.20 113.08 9	57679 28.20 113.08 11	57679 28.20 113.08 4
57816 26.58 106.73 1	57816 26.58 106.73 6	57816 26.58 106.73 7	57816 26.58 106.73 12	57816 26.58 106.73 5
57957 25.32 110.30 3	57957 25.32 110.30 6	57957 25.32 110.30 5	57957 25.32 110.30 13	57957 25.32 110.30 3
57972 25.80 113.03 2	57972 25.80 113.03 7	57972 25.80 113.03 8	57972 25.80 113.03 10	57972 25.80 113.03 4
57993 25.87 115.00 2	57993 25.87 115.00 7	57993 25.87 115.00 9	57993 25.87 115.00 9	57993 25.87 115.00 4
58027 34.28 117.15 3	58027 34.28 117.15 7	58027 34.28 117.15 6	58027 34.28 117.15 8	58027 34.28 117.15 4
58150 33.77 120.25 5	58150 33.77 120.25 6	58150 33.77 120.25 8	58150 33.77 120.25 13	58150 33.77 120.25 4
58203 32.90 115.83 4	58203 32.90 115.83 5	58203 32.90 115.83 8	58203 32.90 115.83 9	58203 32.90 115.83 5
58238 31.93 118.90 3	58238 31.93 118.90 7	58238 31.93 118.90 9	58238 31.93 118.90 8	58238 31.93 118.90 3
58362 31.40 121.45 3	58362 31.40 121.45 9	58362 31.40 121.45 7	58362 31.40 121.45 9	58362 31.40 121.45 4
58424 30.53 117.05 4	58424 30.53 117.05 8	58424 30.53 117.05 7	58424 30.53 117.05 11	58424 30.53 117.05 4
58457 30.23 120.17 5	58457 30.23 120.17 8	58457 30.23 120.17 8	58457 30.23 120.17 10	58457 30.23 120.17 4
58606 28.60 115.92 4	58606 28.60 115.92 7	58606 28.60 115.92 9	58606 28.60 115.92 9	58606 28.60 115.92 4
58633 29.00 118.90 3	58633 29.00 118.90 7	58633 29.00 118.90 11	58633 29.00 118.90 11	58633 29.00 118.90 5
58665 28.62 121.42 5	58665 28.62 121.42 6	58665 28.62 121.42 7	58665 28.62 121.42 9	58665 28.62 121.42 3
58725 27.33 117.47 4	58725 27.33 117.47 6	58725 27.33 117.47 13	58725 27.33 117.47 10	58725 27.33 117.47 4
58847 26.08 119.28 1	58847 26.08 119.28 2	58847 26.08 119.28 2	58847 26.08 119.28 5	58847 26.08 119.28 1
59023 24.70 108.03 3	59023 24.70 108.03 9	59023 24.70 108.03 7	59023 24.70 108.03 11	59023 24.70 108.03 5
59134 24.48 118.07 2	59134 24.48 118.07 7	59134 24.48 118.07 6	59134 24.48 118.07 13	59134 24.48 118.07 2
59211 23.90 106.60 4	59211 23.90 106.60 10	59211 23.90 106.60 11	59211 23.90 106.60 12	59211 23.90 106.60 5
59280 23.70 113.08 4	59280 23.70 113.08 6	59280 23.70 113.08 6	59280 23.70 113.08 5	59280 23.70 113.08 3
59293 23.78 114.73 2	59293 23.78 114.73 4	59293 23.78 114.73 7	59293 23.78 114.73 9	59293 23.78 114.73 2
59316 23.40 116.68 5	59316 23.40 116.68 5	59316 23.40 116.68 10	59316 23.40 116.68 10	59316 23.40 116.68 3
