>850hPa	850-500hPa	500-300hPa	300-100hPa	<100hPa
54511 39.80 116.47 6	54511 39.80 116.47 14	54511 39.80 116.47 11	54511 39.80 116.47 19	54511 39.80 116.47 7
54539 39.43 118.88 4	54539 39.43 118.88 10	54539 39.43 118.88 10	54539 39.43 118.88 19	54539 39.43 118.88 6
54662 38.90 121.63 5	54662 38.90 121.63 12	54662 38.90 121.63 11	54662 38.90 121.63 20	54662 38.90 121.63 6
54727 36.68 117.55 2	54727 36.68 117.55 13	54727 36.68 117.55 11	54727 36.68 117.55 20	54727 36.68 117.55 7
54778 37.17 122.48 3	54778 37.17 122.48 12	54778 37.17 122.48 11	54778 37.17 122.48 17	54778 37.17 122.48 5
54857 36.07 120.33 5	54857 36.07 120.33 13	54857 36.07 120.33 11	54857 36.07 120.33 22	54857 36.07 120.33 6
55299 31.48 92.07 0	55299 31.48 92.07 3	55299 31.48 92.07 12	55299 31.48 92.07 18	55299 31.48 92.07 9
55591 29.67 91.13 0	55591 29.67 91.13 4	55591 29.67 91.13 11	55591 29.67 91.13 17	55591 29.67 91.13 7
55664 28.63 87.08 0	55664 28.63 87.08 4	55664 28.63 87.08 13	55664 28.63 87.08 21	55664 28.63 87.08 9
56004 34.22 92.43 0	56004 34.22 92.43 3	56004 34.22 92.43 11	56004 34.22 92.43 22	56004 34.22 92.43 9
56029 33.00 96.97 0	56029 33.00 96.97 5	56029 33.00 96.97 12	56029 33.00 96.97 23	56029 33.00 96.97 9
56046 33.75 99.65 0	56046 33.75 99.65 5	56046 33.75 99.65 10	56046 33.75 99.65 19	56046 33.75 99.65 7
56080 35.00 102.90 0	56080 35.00 102.90 8	56080 35.00 102.90 12	56080 35.00 102.90 20	56080 35.00 102.90 8
56096 33.40 104.92 0	56096 33.40 104.92 13	56096 33.40 104.92 14	56096 33.40 104.92 22	56096 33.40 104.92 7
56137 31.15 97.17 0	56137 31.15 97.17 6	56137 31.15 97.17 11	56137 31.15 97.17 19	56137 31.15 97.17 9
56146 31.62 100.00 0	56146 31.62 100.00 5	56146 31.62 100.00 11	56146 31.62 100.00 21	56146 31.62 100.00 7
56173 32.80 102.55 0	56173 32.80 102.55 6	56173 32.80 102.55 10	56173 32.80 102.55 18	56173 32.80 102.55 7
56187 30.75 103.87 2	56187 30.75 103.87 13	56187 30.75 103.87 11	56187 30.75 103.87 19	56187 30.75 103.87 7
56247 30.00 99.10 0	56247 30.00 99.10 7	56247 30.00 99.10 11	56247 30.00 99.10 20	56247 30.00 99.10 7
56312 29.67 94.33 0	56312 29.67 94.33 6	56312 29.67 94.33 10	56312 29.67 94.33 21	56312 29.67 94.33 7
56492 28.80 104.60 3	56492 28.80 104.60 12	56492 28.80 104.60 12	56492 28.80 104.60 18	56492 28.80 104.60 6
56571 27.90 102.27 0	56571 27.90 102.27 11	56571 27.90 102.27 9	56571 27.90 102.27 21	56571 27.90 102.27 7
56651 26.85 100.22 0	56651 26.85 100.22 10	56651 26.85 100.22 11	56651 26.85 100.22 18	56651 26.85 100.22 7
56691 26.87 104.28 0	56691 26.87 104.28 11	56691 26.87 104.28 12	56691 26.87 104.28 22	56691 26.87 104.28 8
56739 25.02 98.50 0	56739 25.02 98.50 11	56739 25.02 98.50 11	56739 25.02 98.50 20	56739 25.02 98.50 7
56778 25.00 102.65 0	56778 25.00 102.65 12	56778 25.00 102.65 12	56778 25.00 102.65 19	56778 25.00 102.65 6
57083 34.72 113.65 4	57083 34.72 113.65 13	57083 34.72 113.65 12	57083 34.72 113.65 23	57083 34.72 113.65 7
57127 33.07 107.03 2	57127 33.07 107.03 13	57127 33.07 107.03 11	57127 33.07 107.03 20	57127 33.07 107.03 6
57131 34.43 108.97 2	57131 34.43 108.97 13	57131 34.43 108.97 12	57131 34.43 108.97 21	57131 34.43 108.97 6
57178 33.03 112.58 3	57178 33.03 112.58 13	57178 33.03 112.58 11	57178 33.03 112.58 22	57178 33.03 112.58 6
57245 32.72 109.03 3	57245 32.72 109.03 13	57245 32.72 109.03 10	57245 32.72 109.03 21	57245 32.72 109.03 6
57328 31.20 107.50 3	57328 31.20 107.50 13	57328 31.20 107.50 10	57328 31.20 107.50 17	57328 31.20 107.50 5
57447 30.28 109.47 3	57447 30.28 109.47 13	57447 30.28 109.47 13	57447 30.28 109.47 25	57447 30.28 109.47 7
57461 30.70 111.30 5	57461 30.70 111.30 14	57461 30.70 111.30 10	57461 30.70 111.30 19	57461 30.70 111.30 7
57494 30.60 114.05 4	57494 30.60 114.05 13	57494 30.60 114.05 11	57494 30.60 114.05 20	57494 30.60 114.05 5
57516 29.58 106.47 3	57516 29.58 106.47 14	57516 29.58 106.47 12	57516 29.58 106.47 18	57516 29.58 106.47 6
57679 28.20 113.08 4	57679 28.20 113.08 14	57679 28.20 113.08 13	57679 28.20 113.08 24	57679 28.20 113.08 6
57816 26.58 106.73 1	57816 26.58 106.73 12	57816 26.58 106.73 11	57816 26.58 106.73 17	57816 26.58 106.73 6
57957 25.32 110.30 3	57957 25.32 110.30 13	57957 25.32 110.30 11	57957 25.32 110.30 20	57957 25.32 110.30 6
57972 25.80 113.03 3	57972 25.80 113.03 14	57972 25.80 113.03 12	57972 25.80 113.03 23	57972 25.80 113.03 7
57993 25.87 115.00 4	57993 25.87 115.00 13	57993 25.87 115.00 12	57993 25.87 115.00 22	57993 25.87 115.00 6
58027 34.28 117.15 4	58027 34.28 117.15 12	58027 34.28 117.15 11	58027 34.28 117.15 19	58027 34.28 117.15 6
58150 33.77 120.25 4	58150 33.77 120.25 13	58150 33.77 120.25 12	58150 33.77 120.25 20	58150 33.77 120.25 6
58203 32.90 115.83 3	58203 32.90 115.83 12	58203 32.90 115.83 11	58203 32.90 115.83 18	58203 32.90 115.83 6
58238 31.93 118.90 4	58238 31.93 118.90 13	58238 31.93 118.90 11	58238 31.93 118.90 19	58238 31.93 118.90 6
58362 31.40 121.45 4	58362 31.40 121.45 12	58362 31.40 121.45 11	58362 31.40 121.45 18	58362 31.40 121.45 6
58424 30.53 117.05 4	58424 30.53 117.05 12	58424 30.53 117.05 11	58424 30.53 117.05 20	58424 30.53 117.05 5
58457 30.23 120.17 5	58457 30.23 120.17 13	58457 30.23 120.17 11	58457 30.23 120.17 21	58457 30.23 120.17 6
58606 28.60 115.92 5	58606 28.60 115.92 12	58606 28.60 115.92 11	58606 28.60 115.92 20	58606 28.60 115.92 5
58633 29.00 118.90 5	58633 29.00 118.90 12	58633 29.00 118.90 12	58633 29.00 118.90 22	58633 29.00 118.90 6
58665 28.62 121.42 4	58665 28.62 121.42 13	58665 28.62 121.42 12	58665 28.62 121.42 20	58665 28.62 121.42 6
58725 27.33 117.47 3	58725 27.33 117.47 12	58725 27.33 117.47 12	58725 27.33 117.47 21	58725 27.33 117.47 6
58847 26.08 119.28 3	58847 26.08 119.28 13	58847 26.08 119.28 14	58847 26.08 119.28 24	58847 26.08 119.28 7
59023 24.70 108.03 3	59023 24.70 108.03 13	59023 24.70 108.03 12	59023 24.70 108.03 21	59023 24.70 108.03 5
59134 24.48 118.07 4	59134 24.48 118.07 12	59134 24.48 118.07 12	59134 24.48 118.07 20	59134 24.48 118.07 6
59211 23.90 106.60 3	59211 23.90 106.60 13	59211 23.90 106.60 12	59211 23.90 106.60 22	59211 23.90 106.60 6
59280 23.70 113.08 4	59280 23.70 113.08 13	59280 23.70 113.08 12	59280 23.70 113.08 20	59280 23.70 113.08 6
59293 23.78 114.73 4	59293 23.78 114.73 12	59293 23.78 114.73 12	59293 23.78 114.73 20	59293 23.78 114.73 5
59316 23.40 116.68 3	59316 23.40 116.68 13	59316 23.40 116.68 12	59316 23.40 116.68 20	59316 23.40 116.68 6
